date,day_num,jinsa_bm_global,jinsa_bm_israel,jinsa_bm_uae,jinsa_israel_ceiling,idf_bm_cumul,idf_intercept_pct,alma_waves,alma_waves_cumul,perplexity_min,perplexity_max,perplexity_est,cluster_pct
2026-02-28,1,438,73,137,301,,,,, 180,220,200,
2026-03-01,2,161,57,28,133,,,55,,90,120,105,
2026-03-02,3,138,28,9,129,,,16,,60,75,68,
2026-03-03,4,68,20,7,61,,,10,,30,45,37,
2026-03-04,5,39,9,9,30,128,,10,,15,25,20,
2026-03-05,6,38,,0,38,,,11,,30,40,35,
2026-03-06,7,46,,0,46,,,7,,18,26,22,
2026-03-07,8,57,,0,57,,,12,,35,45,40,
2026-03-08,9,46,,0,46,,,9,,24,34,29,50
2026-03-09,10,43,,0,43,,,13,,38,48,43,50
2026-03-10,11,29,,7,22,300,,9,,25,35,30,50
2026-03-11,12,45,,6,39,,,11,,5,10,8,
2026-03-12,13,33,,7,26,,,10,,4,8,6,
2026-03-13,14,27,,9,18,,,11,,4,8,6,
2026-03-14,15,28,,7,21,,,7,,3,6,4,
2026-03-15,16,26,,4,22,290+,,10,,1,5,3,
2026-03-16,17,34,,6,28,,,12,,4,8,6,
2026-03-17,18,36,,10,26,,,11,,6,12,9,
2026-03-18,19,47,15,13,34,,92,13,,13,17,15,>50
2026-03-19,20,40,18,7,33,,92,19,,16,20,18,>50
2026-03-20,21,30,12,7,23,,92,13,,8,12,10,>50
2026-03-21,22,20,8,4,16,,92,8,,12,18,15,>50
2026-03-22,23,26,13,4,22,,92,8,,8,12,10,>50
2026-03-23,24,21,8,7,12,,92,7,,4,7,5,>50
2026-03-24,25,46,10,5,11,,92,9,,10,15,12,>50
2026-03-25,26,26,,,21,,92,20,,8,12,10,>50
2026-03-26,27,31,,15,16,,92,11,,8,14,11,>50
2026-03-27,28,21,,,11,450+,92,,,9,12,10,>50
2026-03-28,29,,,,,,,,,5,7,6,>50
